  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
      29	 13:13:02	  13.000	  186.39	  998.66	   23.90	 1049.62	   1.171	-2282.57	-1537.84	-1331.00	 -883.14	 -706.10	 -574.52	 -477.67	 -409.18	 -346.12	 -289.90	 -228.52	 -192.43	 -152.77	 -126.78	 -110.48	 -104.36	  -97.84	  -98.62	  -97.55	  -97.81	  -96.45	  -95.50	  -94.01	  -91.66	  -74.47	-2290.08	 -105.30	  375.51	  369.03	  295.39	  241.97	  204.23	  178.84	  157.12	  138.32	  122.21	  108.14	   95.04	   83.68	   73.35	   63.43	   54.74	   47.04	   40.33	   34.57	   29.08	   23.48	   17.85	  -74.47	  397.26	  398.95	  398.15	  397.51	  398.38	  398.60	  398.06	  398.84	  398.49	  397.88	  398.07	  397.49	  399.03	  397.94	  397.89	  398.31	  397.44	  396.37	  394.88	  386.23	  367.15	  339.41	  311.28	  288.24	  280.89	  294.37	  317.13	  345.53	  368.15	  385.80	  392.36	  397.60	  396.23	  397.10	  397.12	  397.08	  396.51	  395.85	  395.51	  396.10	  395.25	  397.27	  396.12	  395.45	  395.54	  397.36	  396.60	  397.02	   12.32	   23.93	   25.06	   23.06	   20.63	   12.67	   13.88	   14.97	   16.64	   13.99	   14.39	   24.71	   -1.66	    0.03	   -0.09	   -0.22
      30	 13:13:21	  12.500	  184.58	  998.69	   23.91	 1050.18	   1.171	-2305.51	-1501.24	-1225.81	 -877.70	 -705.99	 -581.49	 -490.85	 -427.81	 -371.21	 -322.11	 -268.87	 -236.47	 -192.66	 -156.25	 -122.23	  -99.90	  -84.45	  -79.33	  -76.12	  -76.05	  -74.52	  -72.42	  -69.27	  -66.11	  -49.57	-2312.88	  -90.87	  371.49	  361.82	  286.89	  236.50	  199.72	  175.25	  154.35	  136.47	  121.16	  107.85	   95.54	   84.94	   75.41	   66.34	   58.48	   51.77	   45.97	   41.18	   36.79	   32.48	   28.28	  -49.57	  390.57	  392.15	  391.24	  390.31	  391.48	  391.97	  391.37	  392.07	  391.83	  391.20	  391.47	  390.71	  392.23	  391.32	  391.27	  391.31	  390.88	  390.34	  390.51	  386.54	  373.66	  350.63	  321.67	  291.98	  275.74	  281.09	  303.29	  333.94	  359.21	  378.72	  385.53	  390.65	  393.29	  395.39	  394.62	  394.64	  393.92	  393.26	  393.04	  393.58	  392.63	  394.79	  393.59	  392.89	  393.12	  394.70	  394.11	  394.19	   12.65	   23.75	   24.79	   22.83	   20.81	   13.90	   15.84	   15.79	   17.36	   14.72	   14.83	   24.55	   -1.54	    0.05	   -0.10	   -0.09
      31	 13:13:37	  12.000	  185.14	  998.65	   23.94	 1050.03	   1.171	-2334.64	-1516.01	-1135.87	 -903.78	 -728.83	 -604.73	 -515.18	 -457.70	 -403.82	 -358.87	 -309.72	 -281.41	 -243.74	 -209.44	 -173.03	 -140.26	 -108.52	  -87.00	  -70.04	  -60.65	  -55.70	  -51.97	  -48.05	  -42.91	  -27.00	-2341.78	  -77.81	  378.02	  363.02	  286.44	  235.28	  197.82	  173.55	  152.81	  135.17	  120.16	  107.19	   95.32	   85.14	   76.10	   67.63	   60.40	   54.48	   49.50	   45.76	   42.51	   39.70	   37.23	  -27.00	  395.16	  396.63	  396.02	  395.04	  395.95	  396.45	  395.83	  396.58	  396.47	  395.81	  395.86	  395.44	  396.81	  395.79	  395.83	  396.14	  395.37	  394.90	  396.00	  394.22	  385.44	  366.28	  340.24	  307.36	  284.45	  282.43	  301.60	  332.22	  360.80	  383.36	  390.93	  395.84	  390.62	  393.84	  391.97	  392.23	  391.35	  390.77	  390.49	  391.06	  390.13	  392.15	  390.97	  390.48	  390.53	  392.07	  391.66	  391.71	   12.70	   23.66	   24.67	   22.74	   20.95	   14.67	   17.66	   15.89	   17.59	   15.02	   14.95	   24.47	   -1.46	    0.03	   -0.12	   -0.15
      32	 13:14:12	  11.500	  186.89	  998.81	   23.97	 1050.09	   1.171	-2161.25	-1425.77	-1078.04	 -887.93	 -717.52	 -599.81	 -512.66	 -457.58	 -408.44	 -366.15	 -319.20	 -294.44	 -260.78	 -229.06	 -195.53	 -163.72	 -131.98	 -106.79	  -81.68	  -63.41	  -47.59	  -36.07	  -24.62	  -17.55	   -5.02	-2169.78	  -43.53	  380.76	  359.36	  280.96	  230.69	  194.11	  170.19	  149.98	  132.92	  118.52	  106.13	   94.62	   85.25	   76.87	   68.94	   62.43	   57.32	   53.08	   50.33	   48.20	   46.55	   45.51	   -5.02	  395.20	  396.83	  395.87	  395.03	  395.51	  396.58	  395.86	  396.72	  396.33	  395.72	  395.86	  395.40	  396.95	  395.92	  395.83	  396.13	  395.45	  394.94	  396.29	  395.96	  390.98	  376.98	  353.91	  320.62	  293.91	  283.79	  298.81	  328.49	  359.56	  382.66	  391.00	  396.07	  396.17	  398.87	  397.21	  397.23	  396.66	  395.87	  395.73	  396.35	  395.22	  397.45	  396.24	  395.52	  395.72	  397.48	  396.87	  397.12	   13.37	   24.65	   25.69	   23.76	   22.11	   17.10	   20.97	   17.93	   18.39	   15.85	   15.85	   25.55	   -0.43	    0.01	   -0.23	   -0.54
      33	 13:16:05	  10.720	  189.43	  998.78	   24.05	 1049.42	   1.171	-1864.52	-1277.78	-1421.46	 -852.63	 -712.04	 -599.95	 -519.45	 -463.64	 -414.38	 -377.11	 -328.55	 -305.64	 -271.06	 -242.34	 -208.72	 -175.91	 -144.21	 -116.51	  -90.35	  -68.17	  -49.15	  -33.89	  -19.24	  -10.18	    5.04	-1871.46	    1.42	  391.30	  360.01	  277.95	  227.33	  190.44	  166.37	  146.31	  129.46	  115.27	  103.14	   92.10	   82.77	   74.71	   67.25	   61.09	   56.52	   52.77	   50.60	   49.13	   48.24	   47.99	    5.04	  402.47	  404.02	  403.34	  402.56	  402.61	  403.73	  403.27	  403.68	  404.15	  402.94	  403.11	  402.69	  404.24	  403.01	  403.01	  403.41	  402.55	  402.45	  403.86	  404.18	  401.92	  393.36	  375.10	  341.74	  309.87	  292.28	  301.40	  330.06	  362.84	  388.98	  398.22	  402.78	  399.77	  402.53	  399.83	  399.56	  399.72	  398.67	  398.53	  399.59	  397.96	  400.55	  399.05	  398.54	  398.47	  400.02	  399.66	  399.86	   12.81	   23.78	   24.68	   22.67	   20.95	   17.06	   20.86	   17.07	   17.63	   14.98	   14.98	   24.59	   -1.25	    0.04	   -0.07	   -0.08
      34	 13:16:32	  10.500	  186.60	  998.88	   24.07	 1050.05	   1.171	-1882.78	-1066.27	-1258.83	 -780.09	 -670.41	 -567.15	 -495.23	 -442.71	 -396.48	 -362.41	 -316.63	 -295.86	 -264.54	 -236.62	 -205.31	 -174.00	 -143.76	 -116.96	  -90.84	  -67.95	  -47.56	  -29.49	  -13.03	   -1.58	   14.95	-1889.68	   56.18	  386.50	  344.83	  264.87	  215.16	  180.33	  157.23	  138.32	  122.49	  109.15	   97.84	   87.49	   78.88	   71.54	   64.75	   59.29	   55.27	   52.20	   50.58	   49.75	   49.58	   50.12	   14.95	  393.95	  395.54	  394.61	  393.80	  394.25	  395.31	  394.42	  395.37	  395.14	  394.37	  394.56	  394.15	  395.64	  394.56	  394.41	  394.83	  394.21	  393.73	  394.94	  395.05	  392.53	  382.45	  361.34	  326.09	  297.20	  289.70	  309.72	  343.63	  372.21	  389.79	  392.77	  394.71	  394.70	  396.27	  394.99	  394.35	  394.84	  393.75	  393.49	  394.79	  393.11	  395.64	  394.08	  393.41	  393.41	  395.26	  394.78	  394.72	   12.32	   23.07	   23.95	   21.93	   20.25	   16.72	   19.68	   17.38	   16.95	   14.34	   14.39	   23.89	   -1.33	    0.04	   -0.06	   -0.06
      35	 13:16:50	  10.000	  185.23	  998.94	   24.08	 1049.77	   1.171	-1742.62	 -983.31	-1120.66	 -731.33	 -642.72	 -551.11	 -484.01	 -433.53	 -390.46	 -358.37	 -315.13	 -295.03	 -265.83	 -239.33	 -208.27	 -177.32	 -148.13	 -121.65	  -94.89	  -71.66	  -49.32	  -29.42	  -10.64	    2.61	   21.28	-1749.31	  100.16	  386.70	  335.78	  254.87	  205.81	  170.42	  149.53	  131.20	  116.02	  103.24	   92.48	   82.52	   74.54	   67.73	   61.40	   56.45	   52.91	   50.36	   49.30	   49.11	   49.49	   50.77	   21.28	  392.56	  394.04	  393.20	  392.48	  392.88	  393.94	  393.21	  394.06	  393.77	  393.08	  393.27	  392.83	  394.30	  393.31	  393.17	  393.59	  392.97	  392.56	  393.81	  394.11	  393.51	  388.33	  372.62	  338.11	  305.22	  293.81	  314.43	  349.81	  377.36	  391.21	  392.21	  393.52	  392.46	  394.75	  392.68	  392.18	  392.43	  391.56	  391.18	  392.66	  390.90	  393.35	  391.89	  391.39	  391.31	  392.95	  392.48	  392.67	   13.27	   23.77	   24.66	   22.66	   20.97	   18.17	   21.29	   18.34	   17.80	   15.28	   15.33	   24.55	   -1.03	    0.04	   -0.06	   -0.06
      36	 13:17:20	   9.500	  188.16	  998.98	   24.14	 1050.69	   1.171	-1620.85	 -957.57	-1024.43	 -821.95	 -621.16	 -534.87	 -471.50	 -424.51	 -387.15	 -354.64	 -312.80	 -294.71	 -266.57	 -241.92	 -211.23	 -182.55	 -153.06	 -126.21	 -100.00	  -76.19	  -52.44	  -29.76	   -7.99	    8.70	   30.22	-1627.41	  139.43	  387.23	  326.92	  245.41	  198.10	  162.57	  142.67	  125.08	  110.43	   98.32	   88.08	   78.81	   71.23	   64.94	   59.13	   54.70	   51.64	   49.75	   49.25	   49.74	   50.86	   52.87	   30.22	  392.43	  393.83	  393.00	  392.26	  392.79	  393.74	  392.97	  393.90	  393.67	  392.96	  393.14	  392.54	  394.13	  393.16	  392.98	  393.34	  392.54	  392.28	  393.46	  393.86	  393.76	  392.18	  384.88	  355.93	  319.12	  296.07	  312.54	  349.64	  379.35	  392.11	  392.18	  393.44	  396.59	  397.50	  396.91	  396.28	  396.72	  395.62	  395.34	  396.86	  394.80	  397.45	  396.03	  395.36	  395.36	  397.15	  396.58	  396.68	   11.97	   22.59	   23.54	   21.56	   19.95	   18.26	   21.50	   18.31	   16.40	   14.01	   14.21	   23.42	   -1.54	    0.01	   -0.19	   -0.39
      37	 13:17:56	   9.000	  185.48	  998.91	   24.15	 1050.28	   1.170	-1452.43	 -919.62	 -915.08	 -741.59	 -627.71	 -542.70	 -448.49	 -403.67	 -371.48	 -341.66	 -304.06	 -286.79	 -261.78	 -236.63	 -209.21	 -180.59	 -152.87	 -126.23	  -99.99	  -76.14	  -52.18	  -27.84	   -4.50	   14.27	   38.72	-1458.56	  178.76	  386.90	  316.42	  235.99	  189.60	  155.38	  136.05	  119.31	  105.36	   93.94	   84.27	   75.60	   68.55	   62.79	   57.54	   53.72	   51.02	   49.77	   49.90	   50.93	   52.64	   55.53	   38.72	  391.79	  393.22	  392.33	  391.54	  391.96	  393.29	  392.35	  393.20	  392.31	  392.26	  392.41	  392.07	  393.45	  392.39	  392.27	  392.52	  391.96	  391.50	  392.82	  393.11	  392.94	  391.32	  381.99	  349.51	  313.18	  299.71	  324.74	  362.92	  385.89	  392.70	  391.40	  392.57	  391.76	  393.28	  391.90	  391.32	  391.77	  390.91	  390.55	  391.95	  390.24	  392.72	  391.14	  390.47	  390.49	  392.21	  391.73	  391.91	   13.03	   23.21	   24.15	   22.19	   20.60	   19.43	   22.02	   19.32	   17.27	   14.93	   15.16	   24.02	   -0.55	    0.02	   -0.23	   -0.33
      38	 13:18:27	   8.500	  185.04	  998.91	   24.18	 1050.34	   1.170	-1268.65	 -861.79	 -849.38	 -704.33	 -595.19	 -521.68	 -468.33	 -404.43	 -363.42	 -334.14	 -299.26	 -283.92	 -260.45	 -237.17	 -209.76	 -181.98	 -155.83	 -128.13	 -102.07	  -79.06	  -54.46	  -29.85	   -5.29	   14.94	   40.67	-1273.23	  222.75	  387.85	  306.05	  225.29	  178.83	  145.97	  127.15	  110.89	   97.53	   86.75	   77.55	   69.29	   62.75	   57.36	   52.60	   49.19	   46.91	   46.20	   46.76	   48.37	   50.71	   54.05	   40.67	  394.08	  395.38	  394.62	  393.81	  394.27	  395.29	  394.51	  395.37	  394.51	  394.51	  394.55	  394.25	  395.61	  394.54	  394.46	  394.87	  394.36	  393.67	  395.09	  395.36	  395.19	  391.98	  376.43	  336.57	  306.77	  313.79	  349.67	  382.74	  393.59	  395.41	  393.75	  394.78	  393.99	  396.25	  394.13	  393.57	  394.09	  392.91	  392.76	  394.24	  392.41	  394.92	  393.37	  392.74	  392.77	  394.45	  394.02	  393.82	   12.90	   22.72	   23.62	   21.64	   20.02	   19.08	   21.10	   18.75	   17.01	   14.67	   14.83	   23.46	   -0.92	    0.06	   -0.08	   -0.09
      39	 13:19:04	   8.000	  187.74	  998.80	   24.20	 1050.01	   1.170	-1071.94	 -788.58	 -778.30	 -661.43	 -564.74	 -494.64	 -445.53	 -410.85	 -366.37	 -330.56	 -289.98	 -275.14	 -252.95	 -231.27	 -206.79	 -178.69	 -154.11	 -127.05	 -101.46	  -78.24	  -53.95	  -29.39	   -4.07	   16.82	   43.34	-1077.00	  263.06	  386.18	  295.19	  214.43	  167.26	  137.40	  118.90	  103.40	   90.78	   80.51	   71.95	   64.04	   58.16	   53.13	   48.93	   45.94	   44.12	   43.90	   44.91	   47.03	   49.87	   53.62	   43.34	  395.89	  397.35	  396.47	  395.70	  396.20	  397.13	  395.67	  397.21	  396.52	  396.26	  396.56	  396.05	  397.57	  396.34	  396.18	  396.70	  396.05	  395.79	  396.86	  397.21	  397.13	  394.46	  379.45	  338.20	  308.75	  321.58	  360.05	  389.43	  396.34	  397.32	  395.85	  396.59	  397.62	  397.02	  397.76	  396.99	  397.87	  396.51	  396.30	  398.00	  395.89	  398.57	  397.14	  396.36	  396.32	  398.35	  397.54	  397.68	   12.62	   22.17	   23.15	   21.22	   19.71	   19.11	   21.11	   18.79	   16.67	   14.42	   14.63	   22.95	   -0.96	    0.03	   -0.09	   -0.16
      40	 13:19:41	   7.000	  185.86	  998.86	   24.21	 1050.14	   1.170	 -681.33	 -612.03	 -627.52	 -563.25	 -494.75	 -437.43	 -396.79	 -366.08	 -342.21	 -319.25	 -285.33	 -270.20	 -239.26	 -212.60	 -189.52	 -166.69	 -143.60	 -119.41	  -96.09	  -74.23	  -51.05	  -26.52	   -2.07	   19.28	   46.97	 -687.95	  325.83	  366.99	  261.77	  184.50	  142.22	  115.17	   98.90	   85.42	   74.59	   65.73	   58.54	   52.05	   47.09	   43.26	   40.10	   37.88	   37.18	   37.94	   39.78	   42.74	   46.61	   51.17	   46.97	  389.97	  391.34	  390.55	  389.81	  390.11	  391.27	  389.94	  391.33	  390.80	  390.42	  390.73	  390.16	  391.71	  390.68	  390.46	  390.83	  390.15	  389.95	  391.09	  391.30	  391.40	  389.90	  380.89	  343.69	  312.39	  321.87	  358.18	  384.98	  390.37	  391.23	  390.09	  390.95	  391.95	  392.93	  391.80	  391.36	  391.77	  390.86	  390.39	  392.02	  390.10	  392.46	  391.22	  390.38	  390.41	  392.15	  391.61	  391.59	   12.59	   21.05	   22.04	   20.23	   18.80	   18.65	   20.21	   17.86	   16.36	   14.28	   14.43	   21.66	   -0.90	    0.05	   -0.08	   -0.02
      41	 13:20:26	   6.000	  187.33	  998.89	   24.27	 1050.54	   1.170	 -349.52	 -449.03	 -493.12	 -476.03	 -434.48	 -392.08	 -356.49	 -331.99	 -312.50	 -291.54	 -261.93	 -255.82	 -239.27	 -226.06	 -204.24	 -157.67	 -128.59	 -108.78	  -87.90	  -67.91	  -47.20	  -23.00	    0.38	   22.54	   50.44	 -353.92	  368.70	  343.92	  229.33	  155.04	  118.08	   94.48	   80.03	   68.45	   59.23	   51.86	   46.01	   40.80	   36.85	   34.01	   31.77	   30.72	   30.86	   32.59	   35.41	   39.27	   44.08	   49.44	   50.44	  391.86	  393.07	  392.32	  391.48	  392.00	  392.96	  391.64	  393.10	  392.63	  392.17	  392.24	  391.98	  393.09	  392.34	  392.17	  392.56	  391.94	  391.36	  392.71	  393.02	  392.99	  392.23	  391.55	  369.69	  332.33	  319.22	  348.17	  381.09	  391.79	  393.08	  392.12	  392.58	  392.55	  394.97	  392.71	  392.14	  392.54	  392.10	  391.28	  392.79	  390.86	  393.34	  391.81	  391.15	  391.29	  392.99	  392.56	  392.38	   13.80	   21.30	   22.36	   20.70	   19.44	   19.65	   21.17	   18.76	   17.27	   15.41	   15.57	   21.77	   -0.42	    0.04	   -0.05	   -0.07
